column_name,dtype,leakage_risk,recommended_fix,corrected_feature_name,status
afrr_capacity_offered_mw_neg,float64,Gering,none,afrr_capacity_offered_mw_neg,ALLOWED_NO_EXTRA_LAG
afrr_capacity_offered_mw_pos,float64,Gering,none,afrr_capacity_offered_mw_pos,ALLOWED_NO_EXTRA_LAG
afrr_capacity_price_neg,float64,Gering,none,afrr_capacity_price_neg,ALLOWED_NO_EXTRA_LAG
afrr_capacity_price_pos,float64,Gering,none,afrr_capacity_price_pos,ALLOWED_NO_EXTRA_LAG
co2_price,float64,Gering,none,co2_price,ALLOWED_NO_EXTRA_LAG
coal_price,float64,Gering,none,coal_price,ALLOWED_NO_EXTRA_LAG
da_price_eur_diff1,float64,Gering,none,da_price_eur_diff1,ALLOWED_NO_EXTRA_LAG
da_price_eur_diff24,float64,Gering,none,da_price_eur_diff24,ALLOWED_NO_EXTRA_LAG
da_price_eur_ewma24,float64,Gering,none,da_price_eur_ewma24,ALLOWED_NO_EXTRA_LAG
da_price_eur_mean_168h,float64,Gering,none,da_price_eur_mean_168h,ALLOWED_NO_EXTRA_LAG
da_price_eur_mean_24h,float64,Gering,none,da_price_eur_mean_24h,ALLOWED_NO_EXTRA_LAG
da_price_eur_slog1p,float64,Gering,none,da_price_eur_slog1p,ALLOWED_NO_EXTRA_LAG
da_price_eur_std_168h,float64,Gering,none,da_price_eur_std_168h,ALLOWED_NO_EXTRA_LAG
da_price_eur_std_24h,float64,Gering,none,da_price_eur_std_24h,ALLOWED_NO_EXTRA_LAG
da_price_volatility_30d,float64,Gering,none,da_price_volatility_30d,ALLOWED_NO_EXTRA_LAG
gas_capacity,float64,Gering,none,gas_capacity,ALLOWED_NO_EXTRA_LAG
gas_price,float64,Gering,none,gas_price,ALLOWED_NO_EXTRA_LAG
hard_coal_capacity,float64,Gering,none,hard_coal_capacity,ALLOWED_NO_EXTRA_LAG
is_picasso_regime,int8,Gering,none,is_picasso_regime,ALLOWED_NO_EXTRA_LAG
lignite_capacity,float64,Gering,none,lignite_capacity,ALLOWED_NO_EXTRA_LAG
market_regime_picasso,int64,Gering,none,market_regime_picasso,ALLOWED_NO_EXTRA_LAG
mfrr_active_lag,int64,Gering,none,mfrr_active_lag,ALLOWED_NO_EXTRA_LAG
planned_outages_mw,float64,Gering,none,planned_outages_mw,ALLOWED_NO_EXTRA_LAG
pumped_storage_capacity,float64,Gering,none,pumped_storage_capacity,ALLOWED_NO_EXTRA_LAG
solar_capacity,float64,Gering,none,solar_capacity,ALLOWED_NO_EXTRA_LAG
wind_offshore_capacity,float64,Gering,none,wind_offshore_capacity,ALLOWED_NO_EXTRA_LAG
wind_onshore_capacity,float64,Gering,none,wind_onshore_capacity,ALLOWED_NO_EXTRA_LAG
