column,missing_count,missing_pct,leading_nan_run_h,trailing_nan_run_h,internal_nan_count,max_internal_gap_h,first_missing_ts,last_missing_ts,refined_missing_count,inherited_vs_introduced,likely_cause
co2_price,7749,16.842356930165835,7727,22,0,0,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,7755.0,"inherited=7749, introduced=0",Mixed pattern; requires manual column-level review
gas_capacity,676,1.4692777500054337,0,676,0,0,2026-01-31 23:00:00+00:00,2026-03-01 02:00:00+00:00,1444.0,"inherited=676, introduced=0",Tail-only truncation (future-shift target/horizon feature)
hard_coal_capacity,676,1.4692777500054337,0,676,0,0,2026-01-31 23:00:00+00:00,2026-03-01 02:00:00+00:00,18819.0,"inherited=676, introduced=0",Tail-only truncation (future-shift target/horizon feature)
lignite_capacity,676,1.4692777500054337,0,676,0,0,2026-01-31 23:00:00+00:00,2026-03-01 02:00:00+00:00,27723.0,"inherited=676, introduced=0",Tail-only truncation (future-shift target/horizon feature)
pumped_storage_capacity,676,1.4692777500054337,0,676,0,0,2026-01-31 23:00:00+00:00,2026-03-01 02:00:00+00:00,10083.0,"inherited=676, introduced=0",Tail-only truncation (future-shift target/horizon feature)
solar_capacity,676,1.4692777500054337,0,676,0,0,2026-01-31 23:00:00+00:00,2026-03-01 02:00:00+00:00,1444.0,"inherited=676, introduced=0",Tail-only truncation (future-shift target/horizon feature)
wind_offshore_capacity,676,1.4692777500054337,0,676,0,0,2026-01-31 23:00:00+00:00,2026-03-01 02:00:00+00:00,27723.0,"inherited=676, introduced=0",Tail-only truncation (future-shift target/horizon feature)
wind_onshore_capacity,676,1.4692777500054337,0,676,0,0,2026-01-31 23:00:00+00:00,2026-03-01 02:00:00+00:00,1444.0,"inherited=676, introduced=0",Tail-only truncation (future-shift target/horizon feature)
load_actual_entsoe_lag_168h,168,0.36514594970549236,168,0,0,0,2020-11-30 01:00:00+00:00,2020-12-07 00:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
wind_onshore_actual_entsoe_lag_168h,168,0.36514594970549236,168,0,0,0,2020-11-30 01:00:00+00:00,2020-12-07 00:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activation_price_vwap_neg_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_activation_price_vwap_pos_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_da_price_spread_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
da_price_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Unexpected for DA price; check ingestion alignment
da_price_pit_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Unexpected for DA price; check ingestion alignment
da_spread_de_at_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
da_spread_de_fr_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
da_spread_de_nl_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
renewable_share_forecast_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
residual_load_forecast_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
solar_forecast_id_entsoe_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_offshore_forecast_id_entsoe_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_onshore_forecast_id_entsoe_lag_168h,166,0.36079897411376033,166,0,0,0,2020-11-30 01:00:00+00:00,2020-12-06 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_activation_offered_mw_neg_lag_24h,70,0.15214414571062185,22,0,48,24,2020-11-30 01:00:00+00:00,2021-11-30 22:00:00+00:00,,,Inherited source gap(s) inside series
afrr_activation_offered_mw_pos_lag_24h,70,0.15214414571062185,22,0,48,24,2020-11-30 01:00:00+00:00,2021-11-30 22:00:00+00:00,,,Inherited source gap(s) inside series
afrr_activation_offered_mw_neg_lag_12h,58,0.12606229216022952,10,0,48,24,2020-11-30 01:00:00+00:00,2021-11-30 10:00:00+00:00,,,Inherited source gap(s) inside series
afrr_activation_offered_mw_pos_lag_12h,58,0.12606229216022952,10,0,48,24,2020-11-30 01:00:00+00:00,2021-11-30 10:00:00+00:00,,,Inherited source gap(s) inside series
afrr_activation_offered_mw_neg_lag_6h,52,0.11302136538503336,4,0,48,24,2020-11-30 01:00:00+00:00,2021-11-30 04:00:00+00:00,,,Inherited source gap(s) inside series
afrr_activation_offered_mw_pos_lag_6h,52,0.11302136538503336,4,0,48,24,2020-11-30 01:00:00+00:00,2021-11-30 04:00:00+00:00,,,Inherited source gap(s) inside series
afrr_activation_offered_mw_neg_lag_1h,51,0.11084787758916734,0,3,48,24,2021-06-23 19:00:00+00:00,2026-03-01 02:00:00+00:00,,,Inherited source gap(s) inside series
afrr_activation_offered_mw_pos_lag_1h,51,0.11084787758916734,0,3,48,24,2021-06-23 19:00:00+00:00,2026-03-01 02:00:00+00:00,,,Inherited source gap(s) inside series
afrr_activation_offered_mw_neg_lag_2h,50,0.10867438979330131,0,2,48,24,2021-06-23 20:00:00+00:00,2026-03-01 02:00:00+00:00,,,Inherited source gap(s) inside series
afrr_activation_offered_mw_neg_lag_3h,50,0.10867438979330131,1,1,48,24,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,Inherited source gap(s) inside series
afrr_activation_offered_mw_pos_lag_2h,50,0.10867438979330131,0,2,48,24,2021-06-23 20:00:00+00:00,2026-03-01 02:00:00+00:00,,,Inherited source gap(s) inside series
afrr_activation_offered_mw_pos_lag_3h,50,0.10867438979330131,1,1,48,24,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,Inherited source gap(s) inside series
load_actual_entsoe_lag_48h,48,0.10432741420156927,48,0,0,0,2020-11-30 01:00:00+00:00,2020-12-02 00:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
wind_onshore_actual_entsoe_lag_48h,48,0.10432741420156927,48,0,0,0,2020-11-30 01:00:00+00:00,2020-12-02 00:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activation_price_vwap_neg_lag_48h,46,0.0999804386098372,46,0,0,0,2020-11-30 01:00:00+00:00,2020-12-01 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_activation_price_vwap_pos_lag_48h,46,0.0999804386098372,46,0,0,0,2020-11-30 01:00:00+00:00,2020-12-01 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_da_price_spread_lag_48h,46,0.0999804386098372,46,0,0,0,2020-11-30 01:00:00+00:00,2020-12-01 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
