model,quantile,benchmark,model_days,benchmark_days,merged_days,missing_model_days,missing_benchmark_days,date_min,date_max
RLQR,p10,rhpf,62,62,62,,,2025-05-31,2025-07-31
RLQR,p30,rhpf,62,62,62,,,2025-05-31,2025-07-31
RLQR,p50,rhpf,62,62,62,,,2025-05-31,2025-07-31
RLQR,p70,rhpf,62,62,62,,,2025-05-31,2025-07-31
RLQR,p90,rhpf,62,62,62,,,2025-05-31,2025-07-31
TFT,p10,rhpf,62,62,62,,,2025-05-31,2025-07-31
TFT,p30,rhpf,62,62,62,,,2025-05-31,2025-07-31
TFT,p50,rhpf,62,62,62,,,2025-05-31,2025-07-31
TFT,p70,rhpf,62,62,62,,,2025-05-31,2025-07-31
TFT,p90,rhpf,62,62,62,,,2025-05-31,2025-07-31
XGB,p10,rhpf,62,62,62,,,2025-05-31,2025-07-31
XGB,p30,rhpf,62,62,62,,,2025-05-31,2025-07-31
XGB,p50,rhpf,62,62,62,,,2025-05-31,2025-07-31
XGB,p70,rhpf,62,62,62,,,2025-05-31,2025-07-31
XGB,p90,rhpf,62,62,62,,,2025-05-31,2025-07-31
