source,role,missing_candidates,required
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p10/multi/p10_p10/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p30/multi/p30_p30/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p50/multi/p50_p50/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p70/multi/p70_p70/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p90/multi/p90_p90/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/tft_p10/multi/p10_p10/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/tft_p30/multi/p30_p30/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/tft_p50/multi/p50_p50/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/tft_p70/multi/p70_p70/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/tft_p90/multi/p90_p90/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/xgb_p10/multi/p10_p10/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/xgb_p30/multi/p30_p30/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/xgb_p50/multi/p50_p50/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/xgb_p70/multi/p70_p70/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/xgb_p90/multi/p90_p90/performance_metrics.csv,rhpf_profit,rhpf_profit; profit_rhpf; PnL RHPF (€); rolling_pf_profit; rolling_perfect_foresight_profit_eur; rolling_pf_net_revenue_eur; oracle_profit_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p10/multi/p10_p10,planned_component:DA_profit_eur,predicted_da_net_revenue_eur; planned_da_net_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p10/multi/p10_p10,planned_component:ID_profit_eur,predicted_id_net_revenue_eur; planned_id_net_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p10/multi/p10_p10,planned_component:BCM_capacity_profit_eur,predicted_bcm_capacity_revenue_eur; planned_bcm_capacity_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p10/multi/p10_p10,planned_component:BEM_activation_profit_eur,predicted_bem_net_revenue_eur; planned_bem_net_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p30/multi/p30_p30,planned_component:DA_profit_eur,predicted_da_net_revenue_eur; planned_da_net_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p30/multi/p30_p30,planned_component:ID_profit_eur,predicted_id_net_revenue_eur; planned_id_net_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p30/multi/p30_p30,planned_component:BCM_capacity_profit_eur,predicted_bcm_capacity_revenue_eur; planned_bcm_capacity_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p30/multi/p30_p30,planned_component:BEM_activation_profit_eur,predicted_bem_net_revenue_eur; planned_bem_net_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p50/multi/p50_p50,planned_component:DA_profit_eur,predicted_da_net_revenue_eur; planned_da_net_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p50/multi/p50_p50,planned_component:ID_profit_eur,predicted_id_net_revenue_eur; planned_id_net_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p50/multi/p50_p50,planned_component:BCM_capacity_profit_eur,predicted_bcm_capacity_revenue_eur; planned_bcm_capacity_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p50/multi/p50_p50,planned_component:BEM_activation_profit_eur,predicted_bem_net_revenue_eur; planned_bem_net_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p70/multi/p70_p70,planned_component:DA_profit_eur,predicted_da_net_revenue_eur; planned_da_net_revenue_eur,False
artifacts/simulation_runs/thesis_final_multi_2m_20260620T091938Z/linear_p70/multi/p70_p70,planned_component:ID_profit_eur,predicted_id_net_revenue_eur; planned_id_net_revenue_eur,False
