model,quantile,aggregation_level,forecast_activation_rate,realized_activation_rate,activation_rate_error,planned_activation_mwh,realized_activation_mwh,activation_volume_error,forecast_activation_price,realized_activation_price,activation_price_error,volume_effect_eur,price_effect_eur,interaction_effect_eur,activation_surprise_total_eur,data_status,monetary_effect_status
RLQR,p10,aggregate,0.020173852193099136,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
RLQR,p30,aggregate,0.02476753340571353,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
RLQR,p50,aggregate,0.024174882026560117,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
RLQR,p70,aggregate,0.019192475113422897,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
RLQR,p90,aggregate,0.02215168731464781,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
TFT,p10,aggregate,0.01152681682365699,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
TFT,p30,aggregate,0.010070554858109228,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
TFT,p50,aggregate,0.011039952891313492,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
TFT,p70,aggregate,0.011636497670628429,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
TFT,p90,aggregate,0.012492346334146207,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
XGB,p10,aggregate,0.014750114271486798,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
XGB,p30,aggregate,0.01673497675150701,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
XGB,p50,aggregate,0.017207710646598685,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
XGB,p70,aggregate,0.01744849804009513,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
XGB,p90,aggregate,0.017069692226048146,,,,,,,,,,,,,missing_rate_columns,direction_unavailable
