model,quantile,invalid_reason_tokens,missed_activation_penalty_eur,missed_activation_penalty_eur_column_used,reserve_shortfall_penalty_eur,reserve_shortfall_penalty_eur_column_used,infeasibility_penalty_eur,infeasibility_penalty_eur_column_used,emergency_id_repair_cost_eur,emergency_id_repair_cost_eur_column_used,total_penalty_cost_eur,total_penalty_cost_eur_column_used,reserve_headroom_shortfall_count,protected_soc_count,missed_activation_count,fallback_used_count,optimization_infeasible_count,optimization_infeasible_debug_dump_count,affected_hours,associated_regret_eur
RLQR,p10,da_execution_lockbook_physical_infeasible; bcm_capacity_price_missing_for_awarded_capacity; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible; protected_soc,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,639.4260311211989,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,0,1,0,1,1,1,1389.0,
RLQR,p30,da_execution_lockbook_physical_infeasible; bcm_capacity_price_missing_for_awarded_capacity; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible; missed_activation; headroom; reserve_headroom_shortfall; protected_soc,0.589548443632231,penalty_cost_eur,0.589548443632231,penalty_cost_eur,0.589548443632231,penalty_cost_eur,0.0,terminal_soc_repair_cost_eur,0.589548443632231,penalty_cost_eur,1,1,1,1,1,1,1440.0,
RLQR,p50,reserve_infeasible; da_execution_lockbook_physical_infeasible; bcm_capacity_price_missing_for_awarded_capacity; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible; missed_activation; headroom; reserve_headroom_shortfall; protected_soc,156.40622638045477,penalty_cost_eur,156.40622638045477,penalty_cost_eur,156.40622638045477,penalty_cost_eur,127.81433440461144,terminal_soc_repair_cost_eur,156.40622638045477,penalty_cost_eur,1,1,1,1,1,1,1388.0,
RLQR,p70,reserve_infeasible; da_execution_lockbook_physical_infeasible; bcm_capacity_price_missing_for_awarded_capacity; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible; headroom; reserve_headroom_shortfall; protected_soc,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,1,1,0,1,1,1,1440.0,
RLQR,p90,da_execution_lockbook_physical_infeasible; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,117.6145910396594,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,0,0,0,1,1,1,1440.0,
TFT,p10,reserve_infeasible; da_execution_lockbook_physical_infeasible; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible; headroom; reserve_headroom_shortfall; protected_soc,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,1145.2928217560873,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,1,1,0,1,1,1,1451.0,
TFT,p30,da_execution_lockbook_physical_infeasible; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,430.8486602982182,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,0,0,0,1,1,1,1417.0,
TFT,p50,da_execution_lockbook_physical_infeasible; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,332.5216230286932,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,0,0,0,1,1,1,1417.0,
TFT,p70,da_execution_lockbook_physical_infeasible; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,392.8539082367262,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,0,0,0,1,1,1,1417.0,
TFT,p90,da_execution_lockbook_physical_infeasible; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,340.368794615561,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,0,0,0,1,1,1,1417.0,
XGB,p10,reserve_infeasible; da_execution_lockbook_physical_infeasible; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible; missed_activation; headroom; reserve_headroom_shortfall; protected_soc,5.815271962124514,penalty_cost_eur,5.815271962124514,penalty_cost_eur,5.815271962124514,penalty_cost_eur,0.0,terminal_soc_repair_cost_eur,5.815271962124514,penalty_cost_eur,1,1,1,1,1,1,1393.0,
XGB,p30,da_execution_lockbook_physical_infeasible; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible; protected_soc,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,718.580339199619,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,0,1,0,1,1,1,1416.0,
XGB,p50,da_execution_lockbook_physical_infeasible; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,1145.2928217560873,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,0,0,0,1,1,1,1440.0,
XGB,p70,da_execution_lockbook_physical_infeasible; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,989.190810704239,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,0,0,0,1,1,1,1416.0,
XGB,p90,da_execution_lockbook_physical_infeasible; fallback_used; optimization_infeasible_debug_dump; optimization_infeasible,0.0,penalty_cost_eur,0.0,penalty_cost_eur,0.0,penalty_cost_eur,703.546424116029,terminal_soc_repair_cost_eur,0.0,penalty_cost_eur,0,0,0,1,1,1,1440.0,
