strategy,model,quantile,component,planned_component_eur,realized_component_eur,component_gap_eur,share_of_total_planning_gap,planned_column_used,realized_column_used,data_status
multi,RLQR,p10,net_profit_eur,49995.469196119,71581.68142415921,-21586.21222804021,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,RLQR,p10,DA_profit_eur,,5027.207147740728,,,,da_net_revenue_eur,unavailable_missing_column
multi,RLQR,p10,ID_profit_eur,,-639.4260311211989,,,,id_net_revenue_eur,unavailable_missing_column
multi,RLQR,p10,BCM_capacity_profit_eur,,36336.131181198114,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,RLQR,p10,BEM_activation_profit_eur,,21429.687595505755,,,,bem_net_revenue_eur,unavailable_missing_column
multi,RLQR,p30,net_profit_eur,24252.781605745924,79192.81255382807,-54940.030948082145,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,RLQR,p30,DA_profit_eur,,8328.293642133489,,,,da_net_revenue_eur,unavailable_missing_column
multi,RLQR,p30,ID_profit_eur,,0.0,,,,id_net_revenue_eur,unavailable_missing_column
multi,RLQR,p30,BCM_capacity_profit_eur,,26737.286208215715,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,RLQR,p30,BEM_activation_profit_eur,,52210.231476772504,,,,bem_net_revenue_eur,unavailable_missing_column
multi,RLQR,p50,net_profit_eur,19462.95059442557,93509.54213812407,-74046.59154369851,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,RLQR,p50,DA_profit_eur,,4453.629818104728,,,,da_net_revenue_eur,unavailable_missing_column
multi,RLQR,p50,ID_profit_eur,,-127.81433440461144,,,,id_net_revenue_eur,unavailable_missing_column
multi,RLQR,p50,BCM_capacity_profit_eur,,29131.93075634003,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,RLQR,p50,BEM_activation_profit_eur,,67083.14767628313,,,,bem_net_revenue_eur,unavailable_missing_column
multi,RLQR,p70,net_profit_eur,-1675.6508261452768,56098.649836436,-57774.30066258128,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,RLQR,p70,DA_profit_eur,,1674.6381321749975,,,,da_net_revenue_eur,unavailable_missing_column
multi,RLQR,p70,ID_profit_eur,,0.0,,,,id_net_revenue_eur,unavailable_missing_column
multi,RLQR,p70,BCM_capacity_profit_eur,,7033.922463085175,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,RLQR,p70,BEM_activation_profit_eur,,61281.45894426327,,,,bem_net_revenue_eur,unavailable_missing_column
multi,RLQR,p90,net_profit_eur,-3433.2662235101006,66655.01312128181,-70088.27934479191,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,RLQR,p90,DA_profit_eur,,3071.4139603164003,,,,da_net_revenue_eur,unavailable_missing_column
multi,RLQR,p90,ID_profit_eur,,-117.6145910396594,,,,id_net_revenue_eur,unavailable_missing_column
multi,RLQR,p90,BCM_capacity_profit_eur,,2858.5200807838446,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,RLQR,p90,BEM_activation_profit_eur,,75205.40436711998,,,,bem_net_revenue_eur,unavailable_missing_column
multi,TFT,p10,net_profit_eur,22843.396449873697,52230.06655201306,-29386.67010213936,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,TFT,p10,DA_profit_eur,,23262.001209137332,,,,da_net_revenue_eur,unavailable_missing_column
multi,TFT,p10,ID_profit_eur,,-1145.2928217560873,,,,id_net_revenue_eur,unavailable_missing_column
multi,TFT,p10,BCM_capacity_profit_eur,,14056.564777807238,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,TFT,p10,BEM_activation_profit_eur,,20999.206883164705,,,,bem_net_revenue_eur,unavailable_missing_column
multi,TFT,p30,net_profit_eur,18026.663777722708,104696.7988582343,-86670.1350805116,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,TFT,p30,DA_profit_eur,,18006.405446255747,,,,da_net_revenue_eur,unavailable_missing_column
multi,TFT,p30,ID_profit_eur,,-430.8486602982182,,,,id_net_revenue_eur,unavailable_missing_column
multi,TFT,p30,BCM_capacity_profit_eur,,18774.49444480133,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,TFT,p30,BEM_activation_profit_eur,,75069.89076455159,,,,bem_net_revenue_eur,unavailable_missing_column
multi,TFT,p50,net_profit_eur,16928.037681146714,98789.38149134134,-81861.34381019462,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,TFT,p50,DA_profit_eur,,30757.418967268568,,,,da_net_revenue_eur,unavailable_missing_column
multi,TFT,p50,ID_profit_eur,,-332.5216230286932,,,,id_net_revenue_eur,unavailable_missing_column
multi,TFT,p50,BCM_capacity_profit_eur,,4993.410871047974,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,TFT,p50,BEM_activation_profit_eur,,75190.23666528938,,,,bem_net_revenue_eur,unavailable_missing_column
multi,TFT,p70,net_profit_eur,16223.161907015574,100385.77099213313,-84162.60908511755,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,TFT,p70,DA_profit_eur,,28527.16380984024,,,,da_net_revenue_eur,unavailable_missing_column
multi,TFT,p70,ID_profit_eur,,-392.8539082367262,,,,id_net_revenue_eur,unavailable_missing_column
multi,TFT,p70,BCM_capacity_profit_eur,,6469.324841911315,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,TFT,p70,BEM_activation_profit_eur,,76852.61542939671,,,,bem_net_revenue_eur,unavailable_missing_column
multi,TFT,p90,net_profit_eur,21828.093794537865,148543.6503339647,-126715.55653942683,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,TFT,p90,DA_profit_eur,,28863.073502895684,,,,da_net_revenue_eur,unavailable_missing_column
multi,TFT,p90,ID_profit_eur,,-340.368794615561,,,,id_net_revenue_eur,unavailable_missing_column
multi,TFT,p90,BCM_capacity_profit_eur,,30550.558920379644,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,TFT,p90,BEM_activation_profit_eur,,100202.76297840834,,,,bem_net_revenue_eur,unavailable_missing_column
multi,XGB,p10,net_profit_eur,21256.175012870804,107984.82750682022,-86728.65249394941,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,XGB,p10,DA_profit_eur,,17157.575016616735,,,,da_net_revenue_eur,unavailable_missing_column
multi,XGB,p10,ID_profit_eur,,0.0,,,,id_net_revenue_eur,unavailable_missing_column
multi,XGB,p10,BCM_capacity_profit_eur,,14912.826968109131,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,XGB,p10,BEM_activation_profit_eur,,75999.27593765603,,,,bem_net_revenue_eur,unavailable_missing_column
multi,XGB,p30,net_profit_eur,20214.89225154883,141952.70396652338,-121737.81171497455,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,XGB,p30,DA_profit_eur,,18185.163972738417,,,,da_net_revenue_eur,unavailable_missing_column
multi,XGB,p30,ID_profit_eur,,-718.580339199619,,,,id_net_revenue_eur,unavailable_missing_column
multi,XGB,p30,BCM_capacity_profit_eur,,26827.267616976733,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,XGB,p30,BEM_activation_profit_eur,,103815.42070638228,,,,bem_net_revenue_eur,unavailable_missing_column
multi,XGB,p50,net_profit_eur,18808.449558777505,136497.9084669312,-117689.4589081537,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,XGB,p50,DA_profit_eur,,21893.16653541199,,,,da_net_revenue_eur,unavailable_missing_column
multi,XGB,p50,ID_profit_eur,,-1145.2928217560873,,,,id_net_revenue_eur,unavailable_missing_column
multi,XGB,p50,BCM_capacity_profit_eur,,19598.697262840273,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,XGB,p50,BEM_activation_profit_eur,,103533.52696968908,,,,bem_net_revenue_eur,unavailable_missing_column
multi,XGB,p70,net_profit_eur,10449.566641874471,123361.16903652292,-112911.60239464845,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,XGB,p70,DA_profit_eur,,17480.622363341798,,,,da_net_revenue_eur,unavailable_missing_column
multi,XGB,p70,ID_profit_eur,,-989.190810704239,,,,id_net_revenue_eur,unavailable_missing_column
multi,XGB,p70,BCM_capacity_profit_eur,,9272.760715148926,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,XGB,p70,BEM_activation_profit_eur,,106352.4137881235,,,,bem_net_revenue_eur,unavailable_missing_column
multi,XGB,p90,net_profit_eur,19713.06355911613,142066.80734560464,-122353.74378648851,1.0,predicted_net_revenue_eur,realized_net_revenue_eur,available
multi,XGB,p90,DA_profit_eur,,20312.932230455463,,,,da_net_revenue_eur,unavailable_missing_column
multi,XGB,p90,ID_profit_eur,,-703.546424116029,,,,id_net_revenue_eur,unavailable_missing_column
multi,XGB,p90,BCM_capacity_profit_eur,,21093.821603271488,,,,bcm_capacity_revenue_eur,unavailable_missing_column
multi,XGB,p90,BEM_activation_profit_eur,,110683.40789565197,,,,bem_net_revenue_eur,unavailable_missing_column
