strategy,model,quantile,DA_profit_eur,DA_profit_eur_column_used,DA_profit_eur_status,ID_profit_eur,ID_profit_eur_column_used,ID_profit_eur_status,BCM_capacity_profit_eur,BCM_capacity_profit_eur_column_used,BCM_capacity_profit_eur_status,BCM_activation_profit_eur,BCM_activation_profit_eur_column_used,BCM_activation_profit_eur_status,BEM_activation_profit_eur,BEM_activation_profit_eur_column_used,BEM_activation_profit_eur_status,degradation_cost_eur,degradation_cost_eur_column_used,degradation_cost_eur_status,auxiliary_cost_eur,auxiliary_cost_eur_column_used,auxiliary_cost_eur_status,penalties_eur,penalties_eur_column_used,penalties_eur_status,terminal_soc_repair_cost_eur,terminal_soc_repair_cost_eur_column_used,terminal_soc_repair_cost_eur_status,total_costs_eur,total_costs_eur_column_used,total_costs_eur_status,net_profit_eur,net_profit_eur_column_used,net_profit_eur_status
multi,RLQR,p10,5027.207147740728,da_net_revenue_eur,available,-639.4260311211989,id_net_revenue_eur,available,36336.131181198114,bcm_capacity_revenue_eur,available,18805.21452087927,bcm_activation_revenue_eur,available,21429.687595505755,bem_net_revenue_eur,available,5579.649508863128,realized_degradation_cost_eur,available,3422.89635,realized_aux_cost_eur,available,0.0,penalty_cost_eur,available,639.4260311211989,terminal_soc_repair_cost_eur,available,9377.132990043472,total_costs_eur,available,71581.68142415921,realized_net_revenue_eur,available
multi,RLQR,p30,8328.293642133489,da_net_revenue_eur,available,0.0,id_net_revenue_eur,available,26737.286208215715,bcm_capacity_revenue_eur,available,5989.095117967735,bcm_activation_revenue_eur,available,52210.231476772504,bem_net_revenue_eur,available,9563.276123861531,realized_degradation_cost_eur,available,3867.1458000000007,realized_aux_cost_eur,available,0.589548443632231,penalty_cost_eur,available,0.0,terminal_soc_repair_cost_eur,available,14072.093891261366,total_costs_eur,available,79192.81255382807,realized_net_revenue_eur,available
multi,RLQR,p50,4453.629818104728,da_net_revenue_eur,available,-127.81433440461144,id_net_revenue_eur,available,29131.93075634003,bcm_capacity_revenue_eur,available,8406.516157521119,bcm_activation_revenue_eur,available,67083.14767628313,bem_net_revenue_eur,available,10398.48626413725,realized_degradation_cost_eur,available,4185.9325499999995,realized_aux_cost_eur,available,156.40622638045477,penalty_cost_eur,available,127.81433440461144,terminal_soc_repair_cost_eur,available,15437.867935720304,total_costs_eur,available,93509.54213812407,realized_net_revenue_eur,available
multi,RLQR,p70,1674.6381321749975,da_net_revenue_eur,available,0.0,id_net_revenue_eur,available,7033.922463085175,bcm_capacity_revenue_eur,available,1661.6966548616838,bcm_activation_revenue_eur,available,61281.45894426327,bem_net_revenue_eur,available,10919.745672353658,realized_degradation_cost_eur,available,3901.363800000001,realized_aux_cost_eur,available,0.0,penalty_cost_eur,available,0.0,terminal_soc_repair_cost_eur,available,15553.066357949125,total_costs_eur,available,56098.649836436,realized_net_revenue_eur,available
multi,RLQR,p90,3071.4139603164003,da_net_revenue_eur,available,-117.6145910396594,id_net_revenue_eur,available,2858.5200807838446,bcm_capacity_revenue_eur,available,1347.027171814882,bcm_activation_revenue_eur,available,75205.40436711998,bem_net_revenue_eur,available,10759.601039096951,realized_degradation_cost_eur,available,4228.9575,realized_aux_cost_eur,available,0.0,penalty_cost_eur,available,117.6145910396594,terminal_soc_repair_cost_eur,available,15709.737867713631,total_costs_eur,available,66655.01312128181,realized_net_revenue_eur,available
multi,TFT,p10,23262.001209137332,da_net_revenue_eur,available,-1145.2928217560873,id_net_revenue_eur,available,14056.564777807238,bcm_capacity_revenue_eur,available,5209.706668755227,bcm_activation_revenue_eur,available,20999.206883164705,bem_net_revenue_eur,available,6551.592671529438,realized_degradation_cost_eur,available,3161.0314500000004,realized_aux_cost_eur,available,0.0,penalty_cost_eur,available,1145.2928217560873,terminal_soc_repair_cost_eur,available,10152.120165095354,total_costs_eur,available,52230.06655201306,realized_net_revenue_eur,available
multi,TFT,p30,18006.405446255747,da_net_revenue_eur,available,-430.8486602982182,id_net_revenue_eur,available,18774.49444480133,bcm_capacity_revenue_eur,available,4130.971470804225,bcm_activation_revenue_eur,available,75069.89076455159,bem_net_revenue_eur,available,6451.448371783801,realized_degradation_cost_eur,available,3969.3354,realized_aux_cost_eur,available,0.0,penalty_cost_eur,available,430.8486602982182,terminal_soc_repair_cost_eur,available,10854.114607880372,total_costs_eur,available,104696.7988582343,realized_net_revenue_eur,available
multi,TFT,p50,30757.418967268568,da_net_revenue_eur,available,-332.5216230286932,id_net_revenue_eur,available,4993.410871047974,bcm_capacity_revenue_eur,available,1692.542968117158,bcm_activation_revenue_eur,available,75190.23666528938,bem_net_revenue_eur,available,9075.08423597865,realized_degradation_cost_eur,available,3828.1842000000006,realized_aux_cost_eur,available,0.0,penalty_cost_eur,available,332.5216230286932,terminal_soc_repair_cost_eur,available,13511.706357353063,total_costs_eur,available,98789.38149134134,realized_net_revenue_eur,available
multi,TFT,p70,28527.16380984024,da_net_revenue_eur,available,-392.8539082367262,id_net_revenue_eur,available,6469.324841911315,bcm_capacity_revenue_eur,available,1668.8536120343674,bcm_activation_revenue_eur,available,76852.61542939671,bem_net_revenue_eur,available,8342.852450663384,realized_degradation_cost_eur,available,3836.8995,realized_aux_cost_eur,available,0.0,penalty_cost_eur,available,392.8539082367262,terminal_soc_repair_cost_eur,available,12739.332792812802,total_costs_eur,available,100385.77099213313,realized_net_revenue_eur,available
multi,TFT,p90,28863.073502895684,da_net_revenue_eur,available,-340.368794615561,id_net_revenue_eur,available,30550.558920379644,bcm_capacity_revenue_eur,available,2994.370635874992,bcm_activation_revenue_eur,available,100202.76297840834,bem_net_revenue_eur,available,9056.249497945342,realized_degradation_cost_eur,available,4063.2645,realized_aux_cost_eur,available,0.0,penalty_cost_eur,available,340.368794615561,terminal_soc_repair_cost_eur,available,13726.746908978394,total_costs_eur,available,148543.6503339647,realized_net_revenue_eur,available
